Tick,Strategy,Corridor,Agents,Winner,Outcome,Rounds,LoserWait
3,PRIORITY,LOCAL,"['B', 'C']",B,SUCCESS,1,2
1,PRIORITY,LOCAL,"['B', 'C']",B,SUCCESS,1,2
2,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
6,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
131,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
170,ALT-OFFER,LOCAL,"['A', 'B']",B,SUCCESS,2,1
1,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
2,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
2,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
2,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
3,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
3,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
3,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
4,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
4,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
5,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
6,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
7,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
8,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
9,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
113,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
114,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
115,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
116,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
1,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
2,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
16,ALT-OFFER,LOCAL,"['A', 'C']",A,SUCCESS,1,1
17,ALT-OFFER,LOCAL,"['A', 'C']",A,SUCCESS,1,1
18,ALT-OFFER,LOCAL,"['A', 'C']",A,SUCCESS,1,1
62,ALT-OFFER,"(10, 7)","['A', 'B']",A,SUCCESS,1,1
62,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
84,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
85,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
120,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
137,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
138,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
139,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
148,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
149,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
153,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
154,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
171,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
172,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
173,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
174,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
196,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
197,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
1,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
2,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
3,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
61,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
63,ALT-OFFER,"(1, 30)","['B', 'C']",C,SUCCESS,2,1
63,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
64,ALT-OFFER,"(1, 30)","['B', 'C']",C,SUCCESS,2,1
64,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
65,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
130,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
131,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
148,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
149,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
